"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell400"	"Cell400"	"Batch2"	"Group1"	61914.8780422736
"Cell401"	"Cell401"	"Batch2"	"Group1"	52398.4427533648
"Cell402"	"Cell402"	"Batch2"	"Group2"	61250.3502439729
"Cell403"	"Cell403"	"Batch2"	"Group2"	56373.9548905128
"Cell404"	"Cell404"	"Batch2"	"Group2"	53146.9240082888
"Cell405"	"Cell405"	"Batch2"	"Group1"	67199.8280248675
"Cell406"	"Cell406"	"Batch2"	"Group1"	63189.9271753097
"Cell407"	"Cell407"	"Batch2"	"Group2"	67955.3264923202
"Cell408"	"Cell408"	"Batch2"	"Group2"	52753.1858642704
"Cell409"	"Cell409"	"Batch2"	"Group1"	56379.3535639109
"Cell410"	"Cell410"	"Batch2"	"Group1"	55239.9974393327
"Cell411"	"Cell411"	"Batch2"	"Group1"	67121.7159597068
"Cell412"	"Cell412"	"Batch2"	"Group2"	58535.2514947034
"Cell413"	"Cell413"	"Batch2"	"Group2"	68346.249546439
"Cell414"	"Cell414"	"Batch2"	"Group2"	58089.2483444624
"Cell415"	"Cell415"	"Batch2"	"Group1"	42807.7696966687
"Cell416"	"Cell416"	"Batch2"	"Group1"	66042.7849765716
"Cell417"	"Cell417"	"Batch2"	"Group2"	63461.4789222502
"Cell418"	"Cell418"	"Batch2"	"Group1"	54513.4170538471
"Cell419"	"Cell419"	"Batch2"	"Group2"	50232.9934856918
"Cell420"	"Cell420"	"Batch2"	"Group1"	63548.9781703162
"Cell421"	"Cell421"	"Batch2"	"Group1"	73271.413421391
"Cell422"	"Cell422"	"Batch2"	"Group2"	65560.619517695
"Cell423"	"Cell423"	"Batch2"	"Group1"	47817.2348074574
"Cell424"	"Cell424"	"Batch2"	"Group2"	58343.3523187271
"Cell425"	"Cell425"	"Batch2"	"Group2"	59160.8560421008
"Cell426"	"Cell426"	"Batch2"	"Group1"	61280.6965055593
"Cell427"	"Cell427"	"Batch2"	"Group1"	63988.6061502345
"Cell428"	"Cell428"	"Batch2"	"Group1"	79381.498302911
"Cell429"	"Cell429"	"Batch2"	"Group1"	69808.5941580225
"Cell430"	"Cell430"	"Batch2"	"Group1"	71379.3836699131
"Cell431"	"Cell431"	"Batch2"	"Group2"	62369.9065250189
"Cell432"	"Cell432"	"Batch2"	"Group1"	50992.9800191842
"Cell433"	"Cell433"	"Batch2"	"Group2"	54620.3647301297
"Cell434"	"Cell434"	"Batch2"	"Group2"	65454.5920190647
"Cell435"	"Cell435"	"Batch2"	"Group1"	58332.0249171487
"Cell436"	"Cell436"	"Batch2"	"Group2"	66572.4599320962
"Cell437"	"Cell437"	"Batch2"	"Group1"	61556.9306414942
"Cell438"	"Cell438"	"Batch2"	"Group2"	48033.751358428
"Cell439"	"Cell439"	"Batch2"	"Group1"	53593.5139733498
"Cell440"	"Cell440"	"Batch2"	"Group1"	51566.8048369932
"Cell441"	"Cell441"	"Batch2"	"Group2"	55125.6322960931
"Cell442"	"Cell442"	"Batch2"	"Group1"	55847.824070919
"Cell443"	"Cell443"	"Batch2"	"Group1"	66112.5416580936
"Cell444"	"Cell444"	"Batch2"	"Group1"	56917.9566213972
"Cell445"	"Cell445"	"Batch2"	"Group1"	50410.248539316
"Cell446"	"Cell446"	"Batch2"	"Group1"	58012.0322980297
"Cell447"	"Cell447"	"Batch2"	"Group1"	58137.8154605653
"Cell448"	"Cell448"	"Batch2"	"Group2"	51652.8265832938
"Cell449"	"Cell449"	"Batch2"	"Group2"	56095.91983834
"Cell450"	"Cell450"	"Batch2"	"Group1"	54217.0121583203
"Cell451"	"Cell451"	"Batch2"	"Group2"	65769.1765702487
"Cell452"	"Cell452"	"Batch2"	"Group1"	83001.9478585345
"Cell453"	"Cell453"	"Batch2"	"Group1"	66107.3771677219
"Cell454"	"Cell454"	"Batch2"	"Group1"	44254.4154898065
"Cell455"	"Cell455"	"Batch2"	"Group2"	65235.6488515884
"Cell456"	"Cell456"	"Batch2"	"Group2"	91679.8121582738
"Cell457"	"Cell457"	"Batch2"	"Group1"	69911.0420724836
"Cell458"	"Cell458"	"Batch2"	"Group1"	90546.4143341185
"Cell459"	"Cell459"	"Batch2"	"Group1"	81354.2677970708
"Cell460"	"Cell460"	"Batch2"	"Group1"	72163.7579547432
"Cell461"	"Cell461"	"Batch2"	"Group1"	69695.7753331714
"Cell462"	"Cell462"	"Batch2"	"Group1"	49773.5331005156
"Cell463"	"Cell463"	"Batch2"	"Group1"	74054.0302309176
"Cell464"	"Cell464"	"Batch2"	"Group2"	53114.5573589797
"Cell465"	"Cell465"	"Batch2"	"Group1"	50849.0228804952
"Cell466"	"Cell466"	"Batch2"	"Group1"	53807.2742719306
"Cell467"	"Cell467"	"Batch2"	"Group1"	50187.4033676283
"Cell468"	"Cell468"	"Batch2"	"Group1"	66461.399624835
"Cell469"	"Cell469"	"Batch2"	"Group2"	73361.2581329287
"Cell470"	"Cell470"	"Batch2"	"Group1"	68023.1571689892
"Cell471"	"Cell471"	"Batch2"	"Group1"	46575.1087712747
"Cell472"	"Cell472"	"Batch2"	"Group1"	65417.4882573354
"Cell473"	"Cell473"	"Batch2"	"Group1"	53733.4754474581
"Cell474"	"Cell474"	"Batch2"	"Group1"	67976.1540329994
"Cell475"	"Cell475"	"Batch2"	"Group1"	67284.6515430608
"Cell476"	"Cell476"	"Batch2"	"Group1"	44874.864410889
"Cell477"	"Cell477"	"Batch2"	"Group2"	54537.3990315999
"Cell478"	"Cell478"	"Batch2"	"Group1"	46417.7865909675
"Cell479"	"Cell479"	"Batch2"	"Group1"	61674.6425509367
"Cell480"	"Cell480"	"Batch2"	"Group2"	64335.2457381047
"Cell481"	"Cell481"	"Batch2"	"Group1"	58856.468425112
"Cell482"	"Cell482"	"Batch2"	"Group2"	64009.5997486261
"Cell483"	"Cell483"	"Batch2"	"Group1"	43252.1402274495
"Cell484"	"Cell484"	"Batch2"	"Group1"	65048.4799633284
"Cell485"	"Cell485"	"Batch2"	"Group1"	53908.5430115474
"Cell486"	"Cell486"	"Batch2"	"Group1"	54970.6390935388
"Cell487"	"Cell487"	"Batch2"	"Group1"	56310.682380238
"Cell488"	"Cell488"	"Batch2"	"Group1"	76775.3198848959
"Cell489"	"Cell489"	"Batch2"	"Group1"	62640.555242323
"Cell490"	"Cell490"	"Batch2"	"Group1"	58325.035208225
"Cell491"	"Cell491"	"Batch2"	"Group1"	74664.7401269845
"Cell492"	"Cell492"	"Batch2"	"Group1"	43710.0384186047
"Cell493"	"Cell493"	"Batch2"	"Group1"	73773.5451531383
"Cell494"	"Cell494"	"Batch2"	"Group1"	75300.4099284041
"Cell495"	"Cell495"	"Batch2"	"Group2"	64739.6270400494
"Cell496"	"Cell496"	"Batch2"	"Group1"	74269.794517353
"Cell497"	"Cell497"	"Batch2"	"Group1"	63957.4033981088
"Cell498"	"Cell498"	"Batch2"	"Group2"	55805.0078773701
"Cell499"	"Cell499"	"Batch2"	"Group1"	57716.9246638632
"Cell500"	"Cell500"	"Batch2"	"Group2"	62078.9085187119
"Cell501"	"Cell501"	"Batch2"	"Group2"	89460.4723015156
"Cell502"	"Cell502"	"Batch2"	"Group1"	52706.6099635492
"Cell503"	"Cell503"	"Batch2"	"Group1"	75953.3342864205
"Cell504"	"Cell504"	"Batch2"	"Group1"	79792.4780746017
"Cell505"	"Cell505"	"Batch2"	"Group1"	44739.5312199482
"Cell506"	"Cell506"	"Batch2"	"Group1"	71230.9159219408
"Cell507"	"Cell507"	"Batch2"	"Group2"	68012.1364450185
"Cell508"	"Cell508"	"Batch2"	"Group1"	55667.3197449828
"Cell509"	"Cell509"	"Batch2"	"Group2"	52862.6886798702
"Cell510"	"Cell510"	"Batch2"	"Group1"	52044.6464864111
"Cell511"	"Cell511"	"Batch2"	"Group1"	39603.722027894
"Cell512"	"Cell512"	"Batch2"	"Group1"	44453.9252380675
"Cell513"	"Cell513"	"Batch2"	"Group1"	47634.3505274778
"Cell514"	"Cell514"	"Batch2"	"Group1"	49250.6382497455
"Cell515"	"Cell515"	"Batch2"	"Group1"	60730.0417336052
"Cell516"	"Cell516"	"Batch2"	"Group2"	47803.8681931567
"Cell517"	"Cell517"	"Batch2"	"Group1"	56598.1066728848
"Cell518"	"Cell518"	"Batch2"	"Group2"	47000.1980778661
"Cell519"	"Cell519"	"Batch2"	"Group1"	69426.2697451052
"Cell520"	"Cell520"	"Batch2"	"Group2"	72285.1913253944
"Cell521"	"Cell521"	"Batch2"	"Group1"	57112.1569512909
"Cell522"	"Cell522"	"Batch2"	"Group1"	69499.9697216473
"Cell523"	"Cell523"	"Batch2"	"Group2"	45644.8022160721
"Cell524"	"Cell524"	"Batch2"	"Group1"	50624.5597173724
"Cell525"	"Cell525"	"Batch2"	"Group1"	57959.6697022946
"Cell526"	"Cell526"	"Batch2"	"Group1"	69132.9385843216
"Cell527"	"Cell527"	"Batch2"	"Group2"	70917.5530158085
"Cell528"	"Cell528"	"Batch2"	"Group2"	47654.039139239
"Cell529"	"Cell529"	"Batch2"	"Group1"	78810.7019597966
"Cell530"	"Cell530"	"Batch2"	"Group1"	65018.0634822158
"Cell531"	"Cell531"	"Batch2"	"Group1"	59340.7132630747
"Cell532"	"Cell532"	"Batch2"	"Group1"	56346.1905747369
"Cell533"	"Cell533"	"Batch2"	"Group1"	70287.8702837177
"Cell534"	"Cell534"	"Batch2"	"Group2"	39172.514507803
"Cell535"	"Cell535"	"Batch2"	"Group2"	54699.9641615267
"Cell536"	"Cell536"	"Batch2"	"Group2"	68940.5707653571
"Cell537"	"Cell537"	"Batch2"	"Group2"	60137.6304855133
"Cell538"	"Cell538"	"Batch2"	"Group2"	51519.2981713053
"Cell539"	"Cell539"	"Batch2"	"Group1"	66410.2046691589
"Cell540"	"Cell540"	"Batch2"	"Group1"	42195.4966975507
"Cell541"	"Cell541"	"Batch2"	"Group2"	62589.0167288093
"Cell542"	"Cell542"	"Batch2"	"Group2"	71173.1833755078
"Cell543"	"Cell543"	"Batch2"	"Group1"	70969.7326551173
"Cell544"	"Cell544"	"Batch2"	"Group1"	48952.0224367869
"Cell545"	"Cell545"	"Batch2"	"Group2"	42756.7117091619
"Cell546"	"Cell546"	"Batch2"	"Group1"	79125.095601201
"Cell547"	"Cell547"	"Batch2"	"Group1"	56951.6096918138
"Cell548"	"Cell548"	"Batch2"	"Group2"	48683.6417660784
"Cell549"	"Cell549"	"Batch2"	"Group1"	57224.5028825024
"Cell550"	"Cell550"	"Batch2"	"Group2"	72774.0096713869
"Cell551"	"Cell551"	"Batch2"	"Group1"	80012.4933034152
"Cell552"	"Cell552"	"Batch2"	"Group1"	55254.1068147294
"Cell553"	"Cell553"	"Batch2"	"Group1"	80736.6811705577
"Cell554"	"Cell554"	"Batch2"	"Group1"	78479.9413226426
"Cell555"	"Cell555"	"Batch2"	"Group1"	82195.627661351
"Cell556"	"Cell556"	"Batch2"	"Group2"	46734.1165873363
"Cell557"	"Cell557"	"Batch2"	"Group1"	55484.8041327353
"Cell558"	"Cell558"	"Batch2"	"Group1"	54144.0219633224
"Cell559"	"Cell559"	"Batch2"	"Group2"	63087.0170768844
"Cell560"	"Cell560"	"Batch2"	"Group2"	50900.8070696647
"Cell561"	"Cell561"	"Batch2"	"Group1"	36409.8528652206
"Cell562"	"Cell562"	"Batch2"	"Group1"	72268.3389152907
"Cell563"	"Cell563"	"Batch2"	"Group2"	62469.1549308051
"Cell564"	"Cell564"	"Batch2"	"Group1"	51044.1066329735
"Cell565"	"Cell565"	"Batch2"	"Group1"	47473.2818716205
"Cell566"	"Cell566"	"Batch2"	"Group1"	66506.0688485533
"Cell567"	"Cell567"	"Batch2"	"Group2"	75589.9674058074
"Cell568"	"Cell568"	"Batch2"	"Group1"	60012.4192631153
"Cell569"	"Cell569"	"Batch2"	"Group1"	39810.7763754076
"Cell570"	"Cell570"	"Batch2"	"Group1"	43263.1259417253
"Cell571"	"Cell571"	"Batch2"	"Group1"	54998.5769703199
"Cell572"	"Cell572"	"Batch2"	"Group1"	63574.7202096302
"Cell573"	"Cell573"	"Batch2"	"Group2"	61934.4699395064
"Cell574"	"Cell574"	"Batch2"	"Group1"	40530.4021833503
"Cell575"	"Cell575"	"Batch2"	"Group2"	61290.4346287498
"Cell576"	"Cell576"	"Batch2"	"Group1"	42529.0744898532
"Cell577"	"Cell577"	"Batch2"	"Group2"	85006.3208132793
"Cell578"	"Cell578"	"Batch2"	"Group1"	96984.2202321712
"Cell579"	"Cell579"	"Batch2"	"Group1"	60968.1797964028
"Cell580"	"Cell580"	"Batch2"	"Group1"	56553.7073727133
"Cell581"	"Cell581"	"Batch2"	"Group1"	73309.8642572255
"Cell582"	"Cell582"	"Batch2"	"Group2"	72624.3489138397
"Cell583"	"Cell583"	"Batch2"	"Group1"	54309.9554269885
"Cell584"	"Cell584"	"Batch2"	"Group1"	46145.4930431372
"Cell585"	"Cell585"	"Batch2"	"Group1"	60581.2045757962
"Cell586"	"Cell586"	"Batch2"	"Group1"	82081.2561698753
"Cell587"	"Cell587"	"Batch2"	"Group2"	57959.4428124591
"Cell588"	"Cell588"	"Batch2"	"Group1"	48522.0085677086
"Cell589"	"Cell589"	"Batch2"	"Group1"	55913.1877355576
"Cell590"	"Cell590"	"Batch2"	"Group1"	66638.8833930861
"Cell591"	"Cell591"	"Batch2"	"Group1"	55844.7742114378
"Cell592"	"Cell592"	"Batch2"	"Group1"	38678.7527933445
"Cell593"	"Cell593"	"Batch2"	"Group1"	74409.7062982809
"Cell594"	"Cell594"	"Batch2"	"Group1"	66696.0129905224
"Cell595"	"Cell595"	"Batch2"	"Group2"	41849.8787755319
"Cell596"	"Cell596"	"Batch2"	"Group1"	74798.0593927951
"Cell597"	"Cell597"	"Batch2"	"Group1"	57179.8123234695
"Cell598"	"Cell598"	"Batch2"	"Group1"	49820.8621040043
"Cell599"	"Cell599"	"Batch2"	"Group1"	80711.6015253264
"Cell600"	"Cell600"	"Batch2"	"Group2"	41884.7669528551
"Cell601"	"Cell601"	"Batch2"	"Group1"	67040.9999576968
"Cell602"	"Cell602"	"Batch2"	"Group1"	75745.0879940577
"Cell603"	"Cell603"	"Batch2"	"Group1"	56355.6837976762
"Cell604"	"Cell604"	"Batch2"	"Group1"	67604.3753534813
"Cell605"	"Cell605"	"Batch2"	"Group1"	49066.6736533433
"Cell606"	"Cell606"	"Batch2"	"Group1"	49002.0821591882
"Cell607"	"Cell607"	"Batch2"	"Group2"	78651.0251914243
"Cell608"	"Cell608"	"Batch2"	"Group1"	51963.0023120468
"Cell609"	"Cell609"	"Batch2"	"Group1"	60860.7806212027
"Cell610"	"Cell610"	"Batch2"	"Group1"	57290.5078513679
"Cell611"	"Cell611"	"Batch2"	"Group1"	50145.5410230668
"Cell612"	"Cell612"	"Batch2"	"Group1"	56525.8160144921
"Cell613"	"Cell613"	"Batch2"	"Group2"	59557.5102715706
"Cell614"	"Cell614"	"Batch2"	"Group1"	54799.449689477
"Cell615"	"Cell615"	"Batch2"	"Group1"	52284.8593738455
"Cell616"	"Cell616"	"Batch2"	"Group2"	57067.809855637
"Cell617"	"Cell617"	"Batch2"	"Group2"	53409.2243280751
"Cell618"	"Cell618"	"Batch2"	"Group2"	65693.5165957506
"Cell619"	"Cell619"	"Batch2"	"Group1"	43802.302412594
"Cell620"	"Cell620"	"Batch2"	"Group2"	62592.9276475997
"Cell621"	"Cell621"	"Batch2"	"Group2"	82666.1565022996
"Cell622"	"Cell622"	"Batch2"	"Group1"	79258.3750426484
"Cell623"	"Cell623"	"Batch2"	"Group1"	74197.0279421408
"Cell624"	"Cell624"	"Batch2"	"Group2"	59628.6647060512
"Cell625"	"Cell625"	"Batch2"	"Group1"	48728.3114398519
"Cell626"	"Cell626"	"Batch2"	"Group1"	61458.4543545392
"Cell627"	"Cell627"	"Batch2"	"Group1"	79272.0931787675
"Cell628"	"Cell628"	"Batch2"	"Group1"	62220.276609285
"Cell629"	"Cell629"	"Batch2"	"Group2"	63796.7430853763
"Cell630"	"Cell630"	"Batch2"	"Group1"	43116.4442988613
"Cell631"	"Cell631"	"Batch2"	"Group1"	55208.5697279814
"Cell632"	"Cell632"	"Batch2"	"Group1"	79541.8778344772
"Cell633"	"Cell633"	"Batch2"	"Group1"	51168.4036875913
"Cell634"	"Cell634"	"Batch2"	"Group1"	59789.0892398
"Cell635"	"Cell635"	"Batch2"	"Group2"	73304.9184078479
"Cell636"	"Cell636"	"Batch2"	"Group1"	60752.69609482
"Cell637"	"Cell637"	"Batch2"	"Group1"	69721.492769291
"Cell638"	"Cell638"	"Batch2"	"Group1"	66165.8668077937
"Cell639"	"Cell639"	"Batch2"	"Group1"	77887.7913855915
"Cell640"	"Cell640"	"Batch2"	"Group1"	44014.1468258634
"Cell641"	"Cell641"	"Batch2"	"Group1"	47304.7066155506
"Cell642"	"Cell642"	"Batch2"	"Group2"	44346.9362510582
"Cell643"	"Cell643"	"Batch2"	"Group1"	48860.9161508863
"Cell644"	"Cell644"	"Batch2"	"Group2"	48468.886394649
"Cell645"	"Cell645"	"Batch2"	"Group1"	59755.8938157489
"Cell646"	"Cell646"	"Batch2"	"Group1"	76827.6926471876
"Cell647"	"Cell647"	"Batch2"	"Group1"	66718.2176648503
"Cell648"	"Cell648"	"Batch2"	"Group1"	63899.5791568303
"Cell649"	"Cell649"	"Batch2"	"Group1"	74628.7292843915
"Cell650"	"Cell650"	"Batch2"	"Group2"	48853.7360602035
"Cell651"	"Cell651"	"Batch2"	"Group1"	51942.6743690442
"Cell652"	"Cell652"	"Batch2"	"Group1"	50216.0192804313
"Cell653"	"Cell653"	"Batch2"	"Group1"	47674.1191641662
"Cell654"	"Cell654"	"Batch2"	"Group1"	68954.8384130453
"Cell655"	"Cell655"	"Batch2"	"Group2"	53511.4860299893
"Cell656"	"Cell656"	"Batch2"	"Group1"	55189.9453763639
"Cell657"	"Cell657"	"Batch2"	"Group1"	61844.2185987147
"Cell658"	"Cell658"	"Batch2"	"Group2"	68648.3638236245
"Cell659"	"Cell659"	"Batch2"	"Group1"	76083.2416526983
"Cell660"	"Cell660"	"Batch2"	"Group2"	55079.5947213605
"Cell661"	"Cell661"	"Batch2"	"Group1"	56898.6530496366
"Cell662"	"Cell662"	"Batch2"	"Group1"	75305.2377471773
"Cell663"	"Cell663"	"Batch2"	"Group1"	59603.044992631
"Cell664"	"Cell664"	"Batch2"	"Group2"	46215.3339386082
"Cell665"	"Cell665"	"Batch2"	"Group1"	68047.5096271584
"Cell666"	"Cell666"	"Batch2"	"Group2"	42997.7943372044
"Cell667"	"Cell667"	"Batch2"	"Group1"	51749.1005110787
"Cell668"	"Cell668"	"Batch2"	"Group2"	58943.723653908
"Cell669"	"Cell669"	"Batch2"	"Group1"	51767.7124328574
"Cell670"	"Cell670"	"Batch2"	"Group1"	63791.9351569127
"Cell671"	"Cell671"	"Batch2"	"Group1"	72861.037263273
"Cell672"	"Cell672"	"Batch2"	"Group1"	68710.9850174773
"Cell673"	"Cell673"	"Batch2"	"Group2"	60026.3503793015
"Cell674"	"Cell674"	"Batch2"	"Group1"	58312.2450870674
"Cell675"	"Cell675"	"Batch2"	"Group1"	40624.0094752209
"Cell676"	"Cell676"	"Batch2"	"Group2"	55807.1937945414
"Cell677"	"Cell677"	"Batch2"	"Group1"	53667.7055575671
"Cell678"	"Cell678"	"Batch2"	"Group1"	60623.6547519068
"Cell679"	"Cell679"	"Batch2"	"Group1"	64302.1845491967
"Cell680"	"Cell680"	"Batch2"	"Group1"	49884.0895326807
"Cell681"	"Cell681"	"Batch2"	"Group1"	62829.6874091329
"Cell682"	"Cell682"	"Batch2"	"Group1"	41538.6468862447
"Cell683"	"Cell683"	"Batch2"	"Group2"	48462.5674400477
"Cell684"	"Cell684"	"Batch2"	"Group1"	51975.2104163625
"Cell685"	"Cell685"	"Batch2"	"Group1"	89156.4793122258
"Cell686"	"Cell686"	"Batch2"	"Group2"	55876.6369200488
"Cell687"	"Cell687"	"Batch2"	"Group2"	92390.343935966
"Cell688"	"Cell688"	"Batch2"	"Group2"	69934.1192229269
"Cell689"	"Cell689"	"Batch2"	"Group1"	63037.2296475003
"Cell690"	"Cell690"	"Batch2"	"Group1"	80152.9785829798
"Cell691"	"Cell691"	"Batch2"	"Group1"	59472.9385509273
"Cell692"	"Cell692"	"Batch2"	"Group2"	55938.3016286649
"Cell693"	"Cell693"	"Batch2"	"Group1"	47918.6508412846
"Cell694"	"Cell694"	"Batch2"	"Group1"	63389.5543432546
"Cell695"	"Cell695"	"Batch2"	"Group1"	53717.4337600732
"Cell696"	"Cell696"	"Batch2"	"Group1"	83281.6972218607
"Cell697"	"Cell697"	"Batch2"	"Group2"	67592.2193740692
"Cell698"	"Cell698"	"Batch2"	"Group1"	61259.0763291167
"Cell699"	"Cell699"	"Batch2"	"Group1"	71704.7827487282
"Cell700"	"Cell700"	"Batch2"	"Group1"	64405.1183890303
"Cell701"	"Cell701"	"Batch2"	"Group1"	48431.6103107478
"Cell702"	"Cell702"	"Batch2"	"Group1"	57405.7671947733
"Cell703"	"Cell703"	"Batch2"	"Group1"	68908.9129537569
"Cell704"	"Cell704"	"Batch2"	"Group1"	56890.8301779804
"Cell705"	"Cell705"	"Batch2"	"Group1"	84288.9713622043
"Cell706"	"Cell706"	"Batch2"	"Group2"	40779.9955591148
"Cell707"	"Cell707"	"Batch2"	"Group1"	76086.8342294275
"Cell708"	"Cell708"	"Batch2"	"Group1"	87119.0649773336
"Cell709"	"Cell709"	"Batch2"	"Group1"	95724.098607514
"Cell710"	"Cell710"	"Batch2"	"Group1"	71397.3080275402
"Cell711"	"Cell711"	"Batch2"	"Group1"	69255.9512049813
"Cell712"	"Cell712"	"Batch2"	"Group1"	61031.0236756366
"Cell713"	"Cell713"	"Batch2"	"Group1"	75132.0729005322
"Cell714"	"Cell714"	"Batch2"	"Group1"	54844.5959464445
"Cell715"	"Cell715"	"Batch2"	"Group1"	51875.659532368
"Cell716"	"Cell716"	"Batch2"	"Group2"	49169.0583448034
"Cell717"	"Cell717"	"Batch2"	"Group1"	63538.3923916991
"Cell718"	"Cell718"	"Batch2"	"Group1"	65032.3960390556
"Cell719"	"Cell719"	"Batch2"	"Group1"	38911.3005131077
"Cell720"	"Cell720"	"Batch2"	"Group1"	50795.5929458715
"Cell721"	"Cell721"	"Batch2"	"Group2"	46217.6065164408
"Cell722"	"Cell722"	"Batch2"	"Group2"	67890.2882634965
"Cell723"	"Cell723"	"Batch2"	"Group2"	73419.01029093
"Cell724"	"Cell724"	"Batch2"	"Group1"	57427.7253287977
"Cell725"	"Cell725"	"Batch2"	"Group2"	90075.8314638725
"Cell726"	"Cell726"	"Batch2"	"Group2"	49420.3631096439
"Cell727"	"Cell727"	"Batch2"	"Group2"	50325.7492282116
"Cell728"	"Cell728"	"Batch2"	"Group2"	47787.9940267637
"Cell729"	"Cell729"	"Batch2"	"Group2"	75962.9302003895
"Cell730"	"Cell730"	"Batch2"	"Group1"	66956.175533985
"Cell731"	"Cell731"	"Batch2"	"Group1"	67970.707138853
"Cell732"	"Cell732"	"Batch2"	"Group2"	40782.4169401394
"Cell733"	"Cell733"	"Batch2"	"Group1"	63062.6748653732
"Cell734"	"Cell734"	"Batch2"	"Group2"	58321.0755084211
"Cell735"	"Cell735"	"Batch2"	"Group1"	57681.5553028899
"Cell736"	"Cell736"	"Batch2"	"Group2"	52585.9664356445
"Cell737"	"Cell737"	"Batch2"	"Group1"	58462.6788354734
"Cell738"	"Cell738"	"Batch2"	"Group1"	61082.0123462786
"Cell739"	"Cell739"	"Batch2"	"Group1"	74396.8590380346
"Cell740"	"Cell740"	"Batch2"	"Group1"	84061.0014652971
"Cell741"	"Cell741"	"Batch2"	"Group1"	68942.736345086
"Cell742"	"Cell742"	"Batch2"	"Group2"	66223.5564059595
"Cell743"	"Cell743"	"Batch2"	"Group2"	65626.6672971596
"Cell744"	"Cell744"	"Batch2"	"Group2"	78184.0798687541
"Cell745"	"Cell745"	"Batch2"	"Group2"	65110.3776662258
"Cell746"	"Cell746"	"Batch2"	"Group1"	52556.9279548052
"Cell747"	"Cell747"	"Batch2"	"Group1"	78563.6663662152
"Cell748"	"Cell748"	"Batch2"	"Group1"	55299.5666832455
"Cell749"	"Cell749"	"Batch2"	"Group2"	72416.1065824478
"Cell750"	"Cell750"	"Batch2"	"Group2"	47487.2167490554
"Cell751"	"Cell751"	"Batch2"	"Group1"	55161.51303024
"Cell752"	"Cell752"	"Batch2"	"Group2"	51743.4988904975
"Cell753"	"Cell753"	"Batch2"	"Group2"	47729.9771476415
"Cell754"	"Cell754"	"Batch2"	"Group1"	67803.7942024772
"Cell755"	"Cell755"	"Batch2"	"Group1"	52714.4469751662
"Cell756"	"Cell756"	"Batch2"	"Group1"	49593.5656741976
"Cell757"	"Cell757"	"Batch2"	"Group2"	51184.9952645716
"Cell758"	"Cell758"	"Batch2"	"Group1"	65644.8221752034
"Cell759"	"Cell759"	"Batch2"	"Group1"	51928.9939719784
"Cell760"	"Cell760"	"Batch2"	"Group1"	48395.9108432791
"Cell761"	"Cell761"	"Batch2"	"Group1"	54896.4652194367
"Cell762"	"Cell762"	"Batch2"	"Group2"	50573.4449543642
"Cell763"	"Cell763"	"Batch2"	"Group2"	72286.8924687603
"Cell764"	"Cell764"	"Batch2"	"Group1"	71312.4967911424
"Cell765"	"Cell765"	"Batch2"	"Group2"	85892.6750440491
"Cell766"	"Cell766"	"Batch2"	"Group1"	68022.8928630025
"Cell767"	"Cell767"	"Batch2"	"Group1"	51761.3597049978
"Cell768"	"Cell768"	"Batch2"	"Group1"	46230.410976583
"Cell769"	"Cell769"	"Batch2"	"Group1"	51705.4458191199
"Cell770"	"Cell770"	"Batch2"	"Group1"	64664.5906396566
"Cell771"	"Cell771"	"Batch2"	"Group1"	79984.5679461291
"Cell772"	"Cell772"	"Batch2"	"Group1"	71510.1292302156
"Cell773"	"Cell773"	"Batch2"	"Group2"	42654.830004904
"Cell774"	"Cell774"	"Batch2"	"Group1"	90358.5092081386
"Cell775"	"Cell775"	"Batch2"	"Group2"	71770.0379576308
"Cell776"	"Cell776"	"Batch2"	"Group1"	47181.9443888897
"Cell777"	"Cell777"	"Batch2"	"Group1"	54802.7305001123
"Cell778"	"Cell778"	"Batch2"	"Group2"	72526.2613477563
"Cell779"	"Cell779"	"Batch2"	"Group1"	78988.3392208987
"Cell780"	"Cell780"	"Batch2"	"Group2"	96238.175795441
"Cell781"	"Cell781"	"Batch2"	"Group1"	45730.4103690829
"Cell782"	"Cell782"	"Batch2"	"Group1"	53909.8867654584
"Cell783"	"Cell783"	"Batch2"	"Group1"	50359.8882080806
"Cell784"	"Cell784"	"Batch2"	"Group1"	68361.5466903059
"Cell785"	"Cell785"	"Batch2"	"Group1"	49443.8576999917
"Cell786"	"Cell786"	"Batch2"	"Group1"	54758.947778051
"Cell787"	"Cell787"	"Batch2"	"Group2"	93601.1299900191
"Cell788"	"Cell788"	"Batch2"	"Group1"	75463.6079868686
"Cell789"	"Cell789"	"Batch2"	"Group1"	74303.4953115955
"Cell790"	"Cell790"	"Batch2"	"Group1"	71558.379896998
"Cell791"	"Cell791"	"Batch2"	"Group2"	47418.1975809889
"Cell792"	"Cell792"	"Batch2"	"Group1"	79695.1159822545
"Cell793"	"Cell793"	"Batch2"	"Group1"	68521.5397666487
"Cell794"	"Cell794"	"Batch2"	"Group1"	51726.2960885493
"Cell795"	"Cell795"	"Batch2"	"Group1"	63979.4773125748
"Cell796"	"Cell796"	"Batch2"	"Group1"	78459.8775222058
"Cell797"	"Cell797"	"Batch2"	"Group1"	56746.7655863173
"Cell798"	"Cell798"	"Batch2"	"Group1"	53512.2661681572
"Cell799"	"Cell799"	"Batch2"	"Group2"	50515.6917000339
